 INFO 2014-07-16 15:55:26,749 [main] (ContentManagement.java:3504) - Click on ADD ATTRIBUTE button
 INFO 2014-07-16 15:55:32,015 [main] (ContentManagement.java:3525) - Click operation on 'ADD ATTRIBUTE' button is successful. Enter data in 'Key' and 'Val' fields
 INFO 2014-07-16 15:55:32,522 [main] (ContentManagement.java:3564) - Click on 'ADD FIELD' button
 INFO 2014-07-16 15:55:38,435 [main] (ContentManagement.java:3577) - Click operation on 'ADD FIELD' button is successful
 INFO 2014-07-16 15:55:51,820 [main] (ContentManagement.java:4033) - Starting [createNewContainer] execution
 INFO 2014-07-16 15:55:51,820 [main] (ContentManagement.java:4034) - Verify if user is on [STRUCTURE:CONTAINERS] tab
ERROR 2014-07-16 15:55:51,839 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 15:55:51,839 [main] (ContentManagement.java:4050) - User is not on [STRUCTURE:CONTAINERS] tab 
 INFO 2014-07-16 15:55:51,840 [main] (ContentManagement.java:4051) - Click on [Structure] sub tab
 INFO 2014-07-16 15:56:00,204 [main] (ContentManagement.java:4087) - Click operation on [STRUCTURE] tab is successful. Verify User is on [STRUCTURE:CONTAINERS] page
 INFO 2014-07-16 15:56:00,261 [main] (ContentManagement.java:4128) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:56:00,261 [main] (ContentManagement.java:4129) - Click on 'NEW CONTAINER' button
 INFO 2014-07-16 15:56:03,445 [main] (ContentManagement.java:4150) - Verify 'Name' field 'SAVE' & 'CANCEL' buttons are displayed
 INFO 2014-07-16 15:56:03,535 [main] (ContentManagement.java:4241) - 'Name' field 'SAVE' & 'CANCEL' buttons are displayed successfully 
 INFO 2014-07-16 15:56:03,536 [main] (ContentManagement.java:4242) - Create [Cybage Automation Test Container] container
 INFO 2014-07-16 15:56:09,087 [main] (ContentManagement.java:4268) - Verify if the Success message displyaed 
 INFO 2014-07-16 15:56:09,168 [main] (ContentManagement.java:4302) - New Container Success message displayed successfully
 INFO 2014-07-16 15:56:09,168 [main] (ContentManagement.java:4303) - Verify if the container [Cybage Automation Test Container] displayed in Containers list
 INFO 2014-07-16 15:56:11,351 [main] (ContentManagement.java:4340) - [Cybage Automation Test Container] displyaed in Containers list
 INFO 2014-07-16 15:56:11,351 [main] (ContentManagement.java:4342) - Test case [createNewContainer] is successful
 INFO 2014-07-16 15:56:11,376 [main] (ContentManagement.java:4369) - Starting [editContainer] execution
 INFO 2014-07-16 15:56:11,376 [main] (ContentManagement.java:4370) - Verify if user is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:56:13,423 [main] (ContentManagement.java:4464) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:56:13,424 [main] (ContentManagement.java:4465) - Verify if the container [Cybage Automation Test Container] displayed in Containers list
 INFO 2014-07-16 15:56:17,620 [main] (ContentManagement.java:4502) - [Cybage Automation Test Container] displyaed in Containers list
 INFO 2014-07-16 15:56:17,621 [main] (ContentManagement.java:4504) - Edit the container [Cybage Automation Test Container]
 INFO 2014-07-16 15:56:17,921 [main] (ContentManagement.java:4519) - Click operation successful on Edit link of a container [Cybage Automation Test Container] 
 INFO 2014-07-16 15:56:25,562 [main] (ContentManagement.java:4562) - Verify if the Success message displyaed 
 INFO 2014-07-16 15:56:29,595 [main] (ContentManagement.java:4596) - Edit Container Success message displayed successfully
 INFO 2014-07-16 15:56:29,596 [main] (ContentManagement.java:4597) - Verify if the container [Cybage Automation Test ContainerEdit] displayed in Containers list
 INFO 2014-07-16 15:56:40,673 [main] (ContentManagement.java:4634) - [Cybage Automation Test ContainerEdit] displyaed in Containers list
 INFO 2014-07-16 15:56:40,673 [main] (ContentManagement.java:4636) - Test case [editContainer] is successful 
